package,ecosystem,severity,cve,ghsa,summary,publishedAt,updatedAt,firstPatchedVersion,vulnerableVersionRange
typo3/cms-form,COMPOSER,HIGH,CVE-2021-21355,GHSA-2r6j-862c-m2v2,Unrestricted File Upload in Form Framework,2021-03-23 01:53:52,2021-03-24 15:28:12,10.4.14,">= 10.0.0, <= 10.4.13"
typo3/cms-form,COMPOSER,HIGH,CVE-2021-21355,GHSA-2r6j-862c-m2v2,Unrestricted File Upload in Form Framework,2021-03-23 01:53:52,2021-03-24 15:28:12,9.5.25,">= 9.0.0, <= 9.5.24"
typo3/cms-form,COMPOSER,HIGH,CVE-2021-21355,GHSA-2r6j-862c-m2v2,Unrestricted File Upload in Form Framework,2021-03-23 01:53:52,2021-03-24 15:28:12,8.7.40,">= 8.0.0, <= 8.7.39"
typo3/cms-backend,COMPOSER,LOW,CVE-2021-21340,GHSA-fjh3-g8gq-9q92,Cross-Site Scripting in Content Preview,2021-03-23 01:53:47,2021-03-24 15:30:01,11.1.1,">= 11.0.0, <= 11.1.0"
typo3/cms-backend,COMPOSER,LOW,CVE-2021-21340,GHSA-fjh3-g8gq-9q92,Cross-Site Scripting in Content Preview,2021-03-23 01:53:47,2021-03-24 15:30:01,10.4.14,">= 10.0.0, <= 10.4.13"
typo3/cms-core,COMPOSER,LOW,CVE-2021-21339,GHSA-qx3w-4864-94ch,Cleartext storage of session identifier,2021-03-23 01:53:42,2021-03-24 15:26:01,11.1.1,">= 11.0.0, <= 11.1.0"
typo3/cms-core,COMPOSER,LOW,CVE-2021-21339,GHSA-qx3w-4864-94ch,Cleartext storage of session identifier,2021-03-23 01:53:42,2021-03-24 15:26:01,10.4.14,">= 10.0.0, <= 10.4.13"
typo3/cms-core,COMPOSER,LOW,CVE-2021-21339,GHSA-qx3w-4864-94ch,Cleartext storage of session identifier,2021-03-23 01:53:42,2021-03-24 15:26:01,9.5.25,">= 9.0.0, <= 9.5.24"
typo3/cms-core,COMPOSER,LOW,CVE-2021-21339,GHSA-qx3w-4864-94ch,Cleartext storage of session identifier,2021-03-23 01:53:42,2021-03-24 15:26:01,8.7.40,">= 8.0.0, <= 8.7.39"
typo3/cms-core,COMPOSER,LOW,CVE-2021-21339,GHSA-qx3w-4864-94ch,Cleartext storage of session identifier,2021-03-23 01:53:42,2021-03-24 15:26:01,7.6.51,">= 7.0.0, <= 7.6.50"
typo3/cms-core,COMPOSER,LOW,CVE-2021-21339,GHSA-qx3w-4864-94ch,Cleartext storage of session identifier,2021-03-23 01:53:42,2021-03-24 15:26:01,6.2.57,">= 6.2.0, <= 6.2.56"
typo3/cms-core,COMPOSER,LOW,CVE-2021-21338,GHSA-4jhw-2p6j-5wmp,Open Redirection in Login Handling,2021-03-23 01:53:35,2021-03-24 15:25:49,11.1.1,">= 11.0.0, <= 11.1.0"
typo3/cms-core,COMPOSER,LOW,CVE-2021-21338,GHSA-4jhw-2p6j-5wmp,Open Redirection in Login Handling,2021-03-23 01:53:35,2021-03-24 15:25:49,10.4.14,">= 10.0.0, <= 10.4.13"
typo3/cms-core,COMPOSER,LOW,CVE-2021-21338,GHSA-4jhw-2p6j-5wmp,Open Redirection in Login Handling,2021-03-23 01:53:35,2021-03-24 15:25:49,9.5.25,">= 9.0.0, <= 9.5.24"
typo3/cms-core,COMPOSER,LOW,CVE-2021-21338,GHSA-4jhw-2p6j-5wmp,Open Redirection in Login Handling,2021-03-23 01:53:35,2021-03-24 15:25:49,8.7.40,">= 8.0.0, <= 8.7.39"
typo3/cms-core,COMPOSER,LOW,CVE-2021-21338,GHSA-4jhw-2p6j-5wmp,Open Redirection in Login Handling,2021-03-23 01:53:35,2021-03-24 15:25:49,7.6.51,">= 7.0.0, <= 7.6.50"
typo3/cms-core,COMPOSER,LOW,CVE-2021-21338,GHSA-4jhw-2p6j-5wmp,Open Redirection in Login Handling,2021-03-23 01:53:35,2021-03-24 15:25:49,6.2.57,">= 6.2.0, <= 6.2.56"
com.thoughtworks.xstream:xstream,MAVEN,LOW,CVE-2021-21351,GHSA-hrcp-8f3q-4w2c,XStream is vulnerable to an Arbitrary Code Execution attack,2021-03-22 23:29:37,2021-03-24 15:28:02,1.4.16,< 1.4.16
com.thoughtworks.xstream:xstream,MAVEN,LOW,CVE-2021-21350,GHSA-43gc-mjxg-gvrq,XStream is vulnerable to an Arbitrary Code Execution attack,2021-03-22 23:29:28,2021-03-24 15:28:56,1.4.16,< 1.4.16
com.thoughtworks.xstream:xstream,MAVEN,LOW,CVE-2021-21349,GHSA-f6hm-88x3-mfjv,A Server-Side Forgery Request can be activated unmarshalling with XStream to access data streams from an arbitrary URL referencing a resource in an intranet or the local host,2021-03-22 23:29:19,2021-03-24 15:28:47,1.4.16,< 1.4.16
com.thoughtworks.xstream:xstream,MAVEN,LOW,CVE-2021-21348,GHSA-56p8-3fh9-4cvq,XStream is vulnerable to an attack using Regular Expression for a Denial of Service (ReDos),2021-03-22 23:29:09,2021-03-24 15:27:51,1.4.16,< 1.4.16
com.thoughtworks.xstream:xstream,MAVEN,LOW,CVE-2021-21347,GHSA-qpfq-ph7r-qv6f,XStream is vulnerable to an Arbitrary Code Execution attack,2021-03-22 23:29:00,2021-03-24 15:29:06,1.4.16,< 1.4.16
com.thoughtworks.xstream:xstream,MAVEN,LOW,CVE-2021-21346,GHSA-4hrm-m67v-5cxr,XStream is vulnerable to an Arbitrary Code Execution attack,2021-03-22 23:28:49,2021-03-24 15:29:18,1.4.16,< 1.4.16
com.thoughtworks.xstream:xstream,MAVEN,LOW,CVE-2021-21345,GHSA-hwpc-8xqv-jvj4,XStream is vulnerable to a Remote Command Execution attack,2021-03-22 23:28:38,2021-03-26 18:35:23,1.4.16,< 1.4.16
com.thoughtworks.xstream:xstream,MAVEN,LOW,CVE-2021-21344,GHSA-59jw-jqf4-3wq3,XStream is vulnerable to an Arbitrary Code Execution attack,2021-03-22 23:28:23,2021-03-26 18:37:16,1.4.16,< 1.4.16
com.thoughtworks.xstream:xstream,MAVEN,LOW,CVE-2021-21343,GHSA-74cv-f58x-f9wf,XStream is vulnerable to an Arbitrary File Deletion on the local host when unmarshalling as long as the executing process has sufficient rights,2021-03-22 23:28:13,2021-03-26 18:37:37,1.4.16,< 1.4.16
com.thoughtworks.xstream:xstream,MAVEN,LOW,CVE-2021-21342,GHSA-hvv8-336g-rx3m,A Server-Side Forgery Request can be activated unmarshalling with XStream to access data streams from an arbitrary URL referencing a resource in an intranet or the local host,2021-03-22 23:28:01,2021-03-26 18:35:56,1.4.16,< 1.4.16
com.thoughtworks.xstream:xstream,MAVEN,LOW,CVE-2021-21341,GHSA-2p3x-qw9c-25hh,XStream can cause a Denial of Service,2021-03-22 23:27:51,2021-03-24 15:26:19,1.4.16,< 1.4.16
libpng,NUGET,HIGH,CVE-2018-14550,GHSA-qwwr-qc2p-6283,Out-of-bounds write in libpng,2021-03-22 16:57:07,2021-03-22 16:57:07,1.6.37,<= 1.6.35
lxml,PIP,MODERATE,CVE-2021-28957,GHSA-jq4v-f5q6-mjqq,Cross-Site Scripting in lxml,2021-03-22 16:53:53,2021-03-25 22:27:04,4.6.3,< 4.6.3
djangorestframework,PIP,MODERATE,CVE-2020-25626,GHSA-fx83-3ph3-9j2q,Cross-site Scripting (XSS) in Django REST Framework,2021-03-19 21:32:47,2021-03-19 21:32:47,3.11.2,< 3.11.2
total.js,NPM,CRITICAL,CVE-2021-23344,GHSA-3wj8-vp9h-rm6m,Remote Code Execution (RCE),2021-03-19 21:32:20,2021-03-19 21:32:20,3.4.8,< 3.4.7
channels,PIP,HIGH,CVE-2020-35681,GHSA-v542-8q9x-cffc,Exposure of Sensitive Information to an Unauthorized Actor,2021-03-19 21:29:02,2021-03-19 21:29:02,3.0.3,">= 3.0.0, < 3.0.3"
jinja2,PIP,MODERATE,CVE-2020-28493,GHSA-g3rq-g295-4j3m,Regular Expression Denial of Service (ReDoS),2021-03-19 21:28:05,2021-03-19 21:28:05,2.11.3,< 2.11.3
is-svg,NPM,HIGH,CVE-2021-28092,GHSA-7r28-3m3f-r2pr,Regular Expression Denial of Service (ReDoS),2021-03-19 21:25:50,2021-03-25 00:18:31,4.2.2,">= 2.1.0, < 4.2.2"
ssri,NPM,HIGH,CVE-2021-27290,GHSA-vx3p-948g-6vhq,Regular Expression Denial of Service (ReDoS),2021-03-19 21:24:36,2021-03-25 00:17:59,8.0.1,">= 5.2.2, < 8.0.1"
printf,NPM,HIGH,CVE-2021-23354,GHSA-xfhp-gmh8-r8v2,Regular Expression Denial of Service (ReDoS),2021-03-19 21:22:10,2021-03-25 00:18:25,0.6.1,< 0.6.1
object-collider,NPM,CRITICAL,CVE-2021-25914,GHSA-85g2-29m8-qf2p,Prototype Pollution Vulnerability in object-collider,2021-03-19 21:18:33,2021-03-19 21:18:33,1.0.4,">= 1.0.0, < 1.0.4"
set-in,NPM,CRITICAL,CVE-2020-28273,GHSA-qr4p-c9wr-phr6,Prototype pollution in set-in,2021-03-19 21:01:46,2021-03-19 21:01:46,2.0.1,< 2.0.1
schema-inspector,NPM,LOW,CVE-2021-21267,GHSA-f38p-c2gq-4pmr,Regular Expression Denial-of-Service in npm schema-inspector,2021-03-19 20:14:21,2021-03-22 14:18:23,2.0.0,< 2.0.0
org.apache.tomcat.embed:tomcat-embed-core,MAVEN,CRITICAL,CVE-2021-25329,GHSA-jgwr-3qm3-26f3,Potential remote code execution in Apache Tomcat,2021-03-19 20:11:13,2021-03-19 20:11:13,7.0.108,">= 7.0.0, < 7.0.107"
org.apache.tomcat.embed:tomcat-embed-core,MAVEN,CRITICAL,CVE-2021-25329,GHSA-jgwr-3qm3-26f3,Potential remote code execution in Apache Tomcat,2021-03-19 20:11:13,2021-03-19 20:11:13,8.5.61,">= 8.0.0, < 8.5.61"
org.apache.tomcat.embed:tomcat-embed-core,MAVEN,CRITICAL,CVE-2021-25329,GHSA-jgwr-3qm3-26f3,Potential remote code execution in Apache Tomcat,2021-03-19 20:11:13,2021-03-19 20:11:13,9.0.41,">= 9.0.0, < 9.0.41"
org.apache.tomcat.embed:tomcat-embed-core,MAVEN,CRITICAL,CVE-2021-25329,GHSA-jgwr-3qm3-26f3,Potential remote code execution in Apache Tomcat,2021-03-19 20:11:13,2021-03-19 20:11:13,10.0.2,">= 10.0.0-M1, < 10.0.2"
ezsystems/ezplatform-kernel,COMPOSER,HIGH,,GHSA-mrvj-7q4f-5p42,Cross-site scripting in eZ Platform Kernel,2021-03-19 19:56:42,2021-03-19 19:56:42,1.3.1.1,">= 1.3.0, <= 1.3.1"
ezsystems/ezplatform-kernel,COMPOSER,HIGH,,GHSA-mrvj-7q4f-5p42,Cross-site scripting in eZ Platform Kernel,2021-03-19 19:56:42,2021-03-19 19:56:42,1.2.5.1,<= 1.2.5
ezsystems/ezpublish-kernel,COMPOSER,HIGH,,GHSA-mrvj-7q4f-5p42,Cross-site scripting in eZ Platform Kernel,2021-03-19 19:56:42,2021-03-19 19:56:42,7.5.15.2,">= 7.0.0, <= 7.5.15.1"
ezsystems/ezpublish-kernel,COMPOSER,HIGH,,GHSA-mrvj-7q4f-5p42,Cross-site scripting in eZ Platform Kernel,2021-03-19 19:56:42,2021-03-19 19:56:42,6.13.8.2,<= 6.13.8.1
urllib3,PIP,HIGH,CVE-2021-28363,GHSA-5phf-pp7p-vc2r,Using default SSLContext for HTTPS requests in an HTTPS proxy doesn't verify certificate hostname for proxy connection,2021-03-19 19:42:11,2021-03-24 15:27:26,1.26.4,">= 1.26.0, < 1.26.3"
shescape,NPM,HIGH,CVE-2021-21384,GHSA-f2rp-38vg-j3gh,Null characters not escaped,2021-03-18 23:47:56,2021-03-22 14:18:23,1.1.3,< 1.1.3
django,PIP,HIGH,CVE-2020-24583,GHSA-m6gj-h9gm-gw44,Incorrect Default Permissions,2021-03-18 20:30:13,2021-03-18 20:30:13,3.1.1,">= 3.1, < 3.1.1"
django,PIP,HIGH,CVE-2020-24583,GHSA-m6gj-h9gm-gw44,Incorrect Default Permissions,2021-03-18 20:30:13,2021-03-18 20:30:13,3.0.10,">= 3.0, < 3.0.10"
django,PIP,HIGH,CVE-2020-24583,GHSA-m6gj-h9gm-gw44,Incorrect Default Permissions,2021-03-18 20:30:13,2021-03-18 20:30:13,2.2.16,">= 2.2, < 2.2.16"
django,PIP,HIGH,CVE-2020-24584,GHSA-fr28-569j-53c4,Incorrect Default Permissions,2021-03-18 20:30:01,2021-03-18 20:30:01,3.1.1,">= 3.1, < 3.1.1"
django,PIP,HIGH,CVE-2020-24584,GHSA-fr28-569j-53c4,Incorrect Default Permissions,2021-03-18 20:30:01,2021-03-18 20:30:01,3.0.10,">= 3.0, < 3.0.10"
django,PIP,HIGH,CVE-2020-24584,GHSA-fr28-569j-53c4,Incorrect Default Permissions,2021-03-18 20:30:01,2021-03-18 20:30:01,2.2.16,">= 2.2, < 2.2.16"
django,PIP,MODERATE,CVE-2021-3281,GHSA-fvgf-6h6h-3322,Improper Limitation of a Pathname to a Restricted Directory,2021-03-18 20:29:49,2021-03-18 20:29:49,3.1.6,">= 3.0, < 3.1.6"
django,PIP,MODERATE,CVE-2021-3281,GHSA-fvgf-6h6h-3322,Improper Limitation of a Pathname to a Restricted Directory,2021-03-18 20:29:49,2021-03-18 20:29:49,2.2.18,">= 2.2, < 2.2.18"
Pillow,PIP,HIGH,CVE-2020-35653,GHSA-f5g8-5qq7-938w,Out-of-bounds Read,2021-03-18 19:55:41,2021-03-18 19:55:41,8.1.0,< 8.1.0
Pillow,PIP,HIGH,CVE-2020-35655,GHSA-hf64-x4gq-p99h,Out-of-bounds Read,2021-03-18 19:55:34,2021-03-18 19:55:34,8.1.0,< 8.1.0
Pillow,PIP,HIGH,CVE-2020-35654,GHSA-vqcj-wrf2-7v73,Out-of-bounds Write,2021-03-18 19:55:27,2021-03-18 19:55:27,8.1.0,< 8.1.0
Pillow,PIP,HIGH,CVE-2021-27922,GHSA-3wvg-mj6g-m9cv,Uncontrolled Resource Consumption,2021-03-18 19:55:21,2021-03-22 17:14:44,8.1.1,< 8.1.1
Pillow,PIP,HIGH,CVE-2021-27921,GHSA-f4w8-cv6p-x6r5,Denial of Service by Uncontrolled Resource Consumption,2021-03-18 19:55:13,2021-03-22 18:25:21,8.1.1,< 8.1.1
Pillow,PIP,HIGH,CVE-2021-27923,GHSA-95q3-8gr9-gm8w,Denial of Service by Uncontrolled Resource Consumption,2021-03-18 19:54:43,2021-03-22 17:14:12,8.1.1,< 8.1.1
html-parse-stringify,NPM,MODERATE,CVE-2021-23346,GHSA-545q-3fg6-48m7,Regular expression denial of service (ReDoS),2021-03-18 19:39:31,2021-03-18 19:39:32,2.0.1,< 2.0.1
wazuh,NPM,HIGH,CVE-2021-26814,GHSA-w36g-q975-37rg,Improper Input Validation (RCE),2021-03-18 19:30:20,2021-03-18 19:30:20,4.0.4,">= 4.0.0, <= 4.0.3"
org.elasticsearch:elasticsearch,MAVEN,MODERATE,CVE-2021-22132,GHSA-5fvx-2jj3-6mff,Insufficiently Protected Credentials in Elasticsearch,2021-03-18 19:27:27,2021-03-18 19:27:27,7.10.2,">= 7.7.0, < 7.10.2"
org.elasticsearch:elasticsearch,MAVEN,MODERATE,CVE-2020-7014,GHSA-hqqv-9x3v-mp7w,Privilege Escalation Flaw in Elasticsearch,2021-03-18 19:27:20,2021-03-18 19:27:20,7.6.2,">= 7.0.0, < 7.6.2"
org.elasticsearch:elasticsearch,MAVEN,MODERATE,CVE-2020-7014,GHSA-hqqv-9x3v-mp7w,Privilege Escalation Flaw in Elasticsearch,2021-03-18 19:27:20,2021-03-18 19:27:20,6.8.8,">= 6.7.0, < 6.8.8"
org.elasticsearch:elasticsearch,MAVEN,LOW,CVE-2020-7020,GHSA-g9fw-9x87-rmrj,Privilege Context Switching Error in Elasticsearch,2021-03-18 19:27:13,2021-03-18 19:27:13,7.9.2,">= 7.0.0, < 7.9.2"
org.elasticsearch:elasticsearch,MAVEN,LOW,CVE-2020-7020,GHSA-g9fw-9x87-rmrj,Privilege Context Switching Error in Elasticsearch,2021-03-18 19:27:13,2021-03-18 19:27:13,6.8.13,< 6.8.13
org.elasticsearch:elasticsearch,MAVEN,LOW,CVE-2021-22134,GHSA-hwvv-438r-mhvj,Exposure of Sensitive Information to an Unauthorized Actor,2021-03-18 19:23:57,2021-03-18 19:23:57,7.11.0,">= 7.6.0, < 7.11.0"
shopware/platform,COMPOSER,MODERATE,,GHSA-pjj4-jjgc-h3r8,Authenticated remote code execution,2021-03-12 23:09:24,2021-03-12 23:09:24,6.3.5.2,<= 6.3.5.1
shopware/platform,COMPOSER,LOW,,GHSA-h9q8-5gv2-v6mg,Potential Session Hijacking,2021-03-12 23:09:08,2021-03-12 23:09:08,6.3.5.2,<= 6.3.5.1
highcharts-export-server,NPM,HIGH,,GHSA-hfwx-c7q6-g54c,Vulnerability allowing for reading internal HTTP resources,2021-03-12 23:04:46,2021-03-12 23:04:46,2.1.0,<= 2.0.30
madge,NPM,HIGH,CVE-2021-23352,GHSA-753c-phhg-cj29,Improper Neutralization of Special Elements used in a Command,2021-03-12 23:01:49,2021-03-15 18:08:06,4.0.1,< 4.0.1
nobelprizeparser,NPM,CRITICAL,,GHSA-4wv4-mgfq-598v,Code injection in nobelprizeparser,2021-03-12 23:00:19,2021-03-12 23:00:19,1.0.2,< 1.0.2
msgpack5,NPM,MODERATE,CVE-2021-21368,GHSA-gmjw-49p4-pcfm,Prototype poisoning,2021-03-12 22:44:17,2021-03-19 17:55:12,5.2.1,">= 5.0.0, < 5.2.1"
msgpack5,NPM,MODERATE,CVE-2021-21368,GHSA-gmjw-49p4-pcfm,Prototype poisoning,2021-03-12 22:44:17,2021-03-19 17:55:12,4.5.1,">= 4.0.0, < 4.5.1"
msgpack5,NPM,MODERATE,CVE-2021-21368,GHSA-gmjw-49p4-pcfm,Prototype poisoning,2021-03-12 22:44:17,2021-03-19 17:55:12,3.6.1,< 3.6.1
xmldom,NPM,LOW,CVE-2021-21366,GHSA-h6q6-9hqw-rwfv,Misinterpretation of malicious XML input,2021-03-12 22:39:39,2021-03-23 14:46:30,0.5.0,< 0.5.0
@solid/identity-token-verifier,NPM,MODERATE,,GHSA-xmh9-rg6f-j3mr,Verification flaw in Solid identity-token-verifier,2021-03-12 22:39:01,2021-03-12 22:39:01,0.5.2,< 0.5.2
impresscms/impresscms,COMPOSER,MODERATE,CVE-2020-17551,GHSA-j29g-g982-pwpv,Cross-site scripting (XSS),2021-03-12 21:34:11,2021-03-12 21:34:11,1.4.1,<= 1.4.0
org.apache.thrift:libthrift,MAVEN,HIGH,CVE-2020-13949,GHSA-g2fg-mr77-6vrm,Uncontrolled Resource Consumption,2021-03-12 21:33:55,2021-03-25 23:40:19,0.14.0,">= 0.9.3, <= 0.13.0"
