repository,package,fix_commit,commit_message,label,label_old
lbryio/lbry-redux,stringstream,06951e90b55db5f9415289f292aaaa8f0650db5d,"Bump js-yaml from 3.11.0 to 3.13.1

Bumps [js-yaml](https://github.com/nodeca/js-yaml) from 3.11.0 to 3.13.1.
- [Release notes](https://github.com/nodeca/js-yaml/releases)
- [Changelog](https://github.com/nodeca/js-yaml/blob/master/CHANGELOG.md)
- [Commits](https://github.com/nodeca/js-yaml/compare/3.11.0...3.13.1)

Signed-off-by: dependabot[bot] <support@github.com>
Bump extend from 3.0.1 to 3.0.2

Bumps [extend](https://github.com/justmoon/node-extend) from 3.0.1 to 3.0.2.
- [Release notes](https://github.com/justmoon/node-extend/releases)
- [Changelog](https://github.com/justmoon/node-extend/blob/master/CHANGELOG.md)
- [Commits](https://github.com/justmoon/node-extend/compare/v3.0.1...v3.0.2)

Signed-off-by: dependabot[bot] <support@github.com>
Bump fstream from 1.0.11 to 1.0.12

Bumps [fstream](https://github.com/npm/fstream) from 1.0.11 to 1.0.12.
- [Release notes](https://github.com/npm/fstream/releases)
- [Commits](https://github.com/npm/fstream/compare/v1.0.11...v1.0.12)

Signed-off-by: dependabot[bot] <support@github.com>
Bump stringstream from 0.0.5 to 0.0.6

Bumps [stringstream](https://github.com/mhart/StringStream) from 0.0.5 to 0.0.6.
- [Release notes](https://github.com/mhart/StringStream/releases)
- [Commits](https://github.com/mhart/StringStream/compare/v0.0.5...v0.0.6)

Signed-off-by: dependabot[bot] <support@github.com>
Bump lodash from 4.17.10 to 4.17.15

Bumps [lodash](https://github.com/lodash/lodash) from 4.17.10 to 4.17.15.
- [Release notes](https://github.com/lodash/lodash/releases)
- [Commits](https://github.com/lodash/lodash/compare/4.17.10...4.17.15)

Signed-off-by: dependabot[bot] <support@github.com>
Bump mixin-deep from 1.3.1 to 1.3.2

Bumps [mixin-deep](https://github.com/jonschlinkert/mixin-deep) from 1.3.1 to 1.3.2.
- [Release notes](https://github.com/jonschlinkert/mixin-deep/releases)
- [Commits](https://github.com/jonschlinkert/mixin-deep/compare/1.3.1...1.3.2)

Signed-off-by: dependabot[bot] <support@github.com>
Bump eslint-utils from 1.3.1 to 1.4.3

Bumps [eslint-utils](https://github.com/mysticatea/eslint-utils) from 1.3.1 to 1.4.3.
- [Release notes](https://github.com/mysticatea/eslint-utils/releases)
- [Commits](https://github.com/mysticatea/eslint-utils/compare/v1.3.1...v1.4.3)

Signed-off-by: dependabot[bot] <support@github.com>",dependabot,
lbryio/lbry-redux,mixin-deep,06951e90b55db5f9415289f292aaaa8f0650db5d,"Bump js-yaml from 3.11.0 to 3.13.1

Bumps [js-yaml](https://github.com/nodeca/js-yaml) from 3.11.0 to 3.13.1.
- [Release notes](https://github.com/nodeca/js-yaml/releases)
- [Changelog](https://github.com/nodeca/js-yaml/blob/master/CHANGELOG.md)
- [Commits](https://github.com/nodeca/js-yaml/compare/3.11.0...3.13.1)

Signed-off-by: dependabot[bot] <support@github.com>
Bump extend from 3.0.1 to 3.0.2

Bumps [extend](https://github.com/justmoon/node-extend) from 3.0.1 to 3.0.2.
- [Release notes](https://github.com/justmoon/node-extend/releases)
- [Changelog](https://github.com/justmoon/node-extend/blob/master/CHANGELOG.md)
- [Commits](https://github.com/justmoon/node-extend/compare/v3.0.1...v3.0.2)

Signed-off-by: dependabot[bot] <support@github.com>
Bump fstream from 1.0.11 to 1.0.12

Bumps [fstream](https://github.com/npm/fstream) from 1.0.11 to 1.0.12.
- [Release notes](https://github.com/npm/fstream/releases)
- [Commits](https://github.com/npm/fstream/compare/v1.0.11...v1.0.12)

Signed-off-by: dependabot[bot] <support@github.com>
Bump stringstream from 0.0.5 to 0.0.6

Bumps [stringstream](https://github.com/mhart/StringStream) from 0.0.5 to 0.0.6.
- [Release notes](https://github.com/mhart/StringStream/releases)
- [Commits](https://github.com/mhart/StringStream/compare/v0.0.5...v0.0.6)

Signed-off-by: dependabot[bot] <support@github.com>
Bump lodash from 4.17.10 to 4.17.15

Bumps [lodash](https://github.com/lodash/lodash) from 4.17.10 to 4.17.15.
- [Release notes](https://github.com/lodash/lodash/releases)
- [Commits](https://github.com/lodash/lodash/compare/4.17.10...4.17.15)

Signed-off-by: dependabot[bot] <support@github.com>
Bump mixin-deep from 1.3.1 to 1.3.2

Bumps [mixin-deep](https://github.com/jonschlinkert/mixin-deep) from 1.3.1 to 1.3.2.
- [Release notes](https://github.com/jonschlinkert/mixin-deep/releases)
- [Commits](https://github.com/jonschlinkert/mixin-deep/compare/1.3.1...1.3.2)

Signed-off-by: dependabot[bot] <support@github.com>
Bump eslint-utils from 1.3.1 to 1.4.3

Bumps [eslint-utils](https://github.com/mysticatea/eslint-utils) from 1.3.1 to 1.4.3.
- [Release notes](https://github.com/mysticatea/eslint-utils/releases)
- [Commits](https://github.com/mysticatea/eslint-utils/compare/v1.3.1...v1.4.3)

Signed-off-by: dependabot[bot] <support@github.com>",dependabot,
lino-framework/react,acorn,e30f9ddee5eec7dc087a611ed87f73e8f1777a40,"New display modes for grid, list and cards",,
lskjs/lskjs,mixin-deep,5bee3a05ac0af3bc2d6dc3c2e789a078d541c05e,chore: update package lock,dependencies,
lskjs/lskjs,acorn,e3fcf92b62aaffffaf1ad753b8ab41e26682ce48,chore: update packages,dependencies,
lttb/reshadow,https-proxy-agent,a9b2425672c4116cccc8747a3acaac4a9193ae79,deps: update dependencies,dependencies,
maidsafe/safenetwork.tech,mixin-deep,1d200552a46101bd9756a2d78b0c20e04be5c7b1,update react-static to v7,dependencies,
maidsafe/safenetwork.tech,axios,1d200552a46101bd9756a2d78b0c20e04be5c7b1,update react-static to v7,dependencies,
makeomatic/ms-users,acorn,c544d8a4767ed543cd18a2aedab6c2517977d226,feat(restore-pwd): expand 429 error with actual ttl,security,empty
mapcentia/vidi,braces,2a3d23efb32b838f683a4915150930f9d12a0f9c,Reports,,
mapcentia/vidi,brace-expansion,3fd98778a231851c7873a40541a30848354d5170,Clean up and upgrade Google Mutant,dependencies,empty
mapcentia/vidi,lodash,3fd98778a231851c7873a40541a30848354d5170,Clean up and upgrade Google Mutant,dependencies,empty
mapcentia/vidi,lodash,3fd98778a231851c7873a40541a30848354d5170,Clean up and upgrade Google Mutant,dependencies,empty
mapcentia/vidi,lodash,3fd98778a231851c7873a40541a30848354d5170,Clean up and upgrade Google Mutant,dependencies,empty
mapcentia/vidi,lodash,3fd98778a231851c7873a40541a30848354d5170,Clean up and upgrade Google Mutant,dependencies,empty
mapcentia/vidi,js-yaml,3fd98778a231851c7873a40541a30848354d5170,Clean up and upgrade Google Mutant,dependencies,empty
mapcentia/vidi,js-yaml,3fd98778a231851c7873a40541a30848354d5170,Clean up and upgrade Google Mutant,dependencies,empty
mapcentia/vidi,debug,3fd98778a231851c7873a40541a30848354d5170,Clean up and upgrade Google Mutant,dependencies,empty
mar10/fancytree,acorn,d797c5cbb9022b07edc176e616b2cedd2f0e3819,npm audit fix,dependencies,
maticnetwork/contracts,acorn,bf815184b59e627d35ccb0f386ef12a8d40cf983,Regenerate package-lock,dependencies,
microsoft/monaco-editor,acorn,0dd8a9142221d9c954afa6c6a65d83ebb363ae6e,update deps,dependencies,
mika-cn/maoxian-web-clipper,acorn,2b807a016809d9f0f73747bb9d06272fbfc8dda8,Upgrade mocha,dependencies,
mjmlio/mjml,mixin-deep,736c5b87f2bb482ac53aacbeeecfbab5b9144e00,fix watch nested includes when filePath specified,,
nib-edit/Nib,acorn,5f202477973eae959f582fc4b079d6d9b7b15fe2,Docs upgrade,,
obniz/obniz,mixin-deep,96d23eaf390ff5f609f14c512dcd24510fe712c7,fix security-warning,security,
okta/okta-signin-widget,mixin-deep,70ef79f5d06969ded2c785dd7fa46e07a4b86c6d,,,
okta/okta-signin-widget,eslint-utils,8a169c1add83002cf656188c8e52f01caf5418a2,"fix: eslint to avoid only

OKTA-313084",,
